standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
ù,cố,Predicate vocabulary,1,-0.0630464553833007,,-0.0630464553833007,PNT1,SENT
đàn,các,Negation/Function words,1,-0.0645036697387695,,-0.0645036697387695,PNB,MCQA
là,rằng,Connectives/Aspect markers,1,-0.0647511482238769,,-0.0647511482238769,PNB,NLI
moá,mẹ,Kinship/Honorific terms,1,-0.0649948120117187,,-0.0649948120117187,PNT1,SENT
bỏ mẹ,thấy mồ,Idiomatic expressions,1,-0.0655884742736816,,-0.0655884742736816,PNT4,SENT
ông ấy,mình,Pronouns,1,-0.0662915706634521,,-0.0662915706634521,PNB,NLI
ra,đi,Predicate vocabulary,1,-0.0665631294250488,,-0.0665631294250488,PNB,SENT
má mấy mẻ,mà bọn hắn,Pronouns,1,-0.0674962997436523,,-0.0674962997436523,PNT3,SENT
vật lộn,chống chọi,Predicate vocabulary,1,-0.068162202835083,,-0.068162202835083,PNT4,MCQA
ví,bóp,Predicate vocabulary,2,-0.0700457096099853,0.06150776201764635,-0.0700457096099853,"PNN, PNT4",NLI
lắm,gớm,Discourse particles,1,-0.0723180770874023,,-0.0723180770874023,PNT4,SENT
bố đời ấy,làm phách đó,Idiomatic expressions,1,-0.0742273330688476,,-0.0742273330688476,PNN,SENT
to,bự,Predicate vocabulary,3,-0.07442601521809894,0.055431244206678186,-0.0424227714538574,"PNN, PNT4",SENT
tính,định,Predicate vocabulary,2,-0.0753040313720703,0.0,-0.0753040313720703,"PNT3, PNT4",SENT
mẫu,miếng,Predicate vocabulary,1,-0.0754287242889404,,-0.0754287242889404,PNT4,MCQA
thích,ưng,Predicate vocabulary,1,-0.0757899284362793,,-0.0757899284362793,PNT4,SENT
trông,nhìn,Predicate vocabulary,1,-0.076608657836914,,-0.076608657836914,PNT4,SENT
tác động,ảnh hưởng,Predicate vocabulary,1,-0.0786819458007812,,-0.0786819458007812,PNB,QA
cứ phải,toàn như,Idiomatic expressions,1,-0.0795183181762695,,-0.0795183181762695,PNB,SENT
chịu,bị,Predicate vocabulary,1,-0.0796685218811035,,-0.0796685218811035,PNN,QA
đám,mảnh,Predicate vocabulary,1,-0.0797157287597656,,-0.0797157287597656,PNB,MCQA
trải,rải,Predicate vocabulary,2,-0.0802483558654785,0.0,-0.0802483558654785,PNB,QA
bọn,tụi,Pronouns,8,-0.0816041231155395,0.07868694810045505,-0.08951759338378901,"PNN, PNT4",SENT
giờ,bựa chừ,Demonstratives/Deixis,1,-0.0832800865173339,,-0.0832800865173339,PNT3,SENT
công,mướn,Predicate vocabulary,1,-0.0854525566101074,,-0.0854525566101074,PNN,SENT
nhé nhỉ thế,nghe như rứa,Discourse particles,1,-0.087656021118164,,-0.087656021118164,PNT4,SENT
những ngưới,mấy người,Predicate vocabulary,1,-0.0887339115142822,,-0.0887339115142822,PNT4,NLI
khỏi,thể không,Negation/Function words,1,-0.0900444984436035,,-0.0900444984436035,PNT1,NLI
rược,đuổi,Predicate vocabulary,2,-0.0903253555297851,0.0,-0.0903253555297851,"PNT1, PNT4",SENT
thật đấy,ghê lắm,Discourse particles,1,-0.090404987335205,,-0.090404987335205,PNT4,SENT
tấm,chiếc,Predicate vocabulary,1,-0.0907411575317382,,-0.0907411575317382,PNB,MCQA
móa,mẹ,Kinship/Honorific terms,1,-0.0909771919250488,,-0.0909771919250488,PNT3,SENT
vệ,lề,Predicate vocabulary,2,-0.091958999633789,0.0,-0.091958999633789,"PNN, PNT4",MCQA
hên xui,may rủi,Idiomatic expressions,1,-0.0921192169189453,,-0.0921192169189453,PNB,SENT
thời,tuổi,Predicate vocabulary,1,-0.0937767028808593,,-0.0937767028808593,PNB,MCQA
nảy,mọc,Predicate vocabulary,1,-0.0938680171966552,,-0.0938680171966552,PNN,MCQA
tao,tâm,Pronouns,3,-0.0956664085388183,0.0,-0.0956664085388183,"PNB, PNT1, PNT2",SENT
toác,hoang,Predicate vocabulary,1,-0.0967235565185546,,-0.0967235565185546,PNT1,SENT
nghề nghiệp,manh áo của,Idiomatic expressions,1,-0.0968084335327148,,-0.0968084335327148,PNB,SENT
van xin,năn nỉ,Idiomatic expressions,1,-0.0995876789093017,,-0.0995876789093017,PNN,MCQA
này sợ thật đấy,hết cả hồn,Idiomatic expressions,1,-0.1023964881896972,,-0.1023964881896972,PNT2,SENT
mẫu,mảnh,Predicate vocabulary,1,-0.1035101413726806,,-0.1035101413726806,PNB,MCQA
phủ quyết,bác bỏ,Predicate vocabulary,1,-0.1035881042480468,,-0.1035881042480468,PNT4,QA
gấu,bồ,Predicate vocabulary,2,-0.110889196395874,0.28107463532084753,-0.110889196395874,PNN,SENT
tao vậy,ta rứa,Demonstratives/Deixis,1,-0.1122994422912597,,-0.1122994422912597,PNT4,SENT
to vậy,bà là rứa,Demonstratives/Deixis,1,-0.1133947372436523,,-0.1133947372436523,PNT3,SENT
bố láo,cà chớn,Idiomatic expressions,1,-0.1240410804748535,,-0.1240410804748535,PNN,SENT
liền,ngay,Demonstratives/Deixis,1,-0.1283044815063476,,-0.1283044815063476,PNB,SENT
nhé,nhá,Discourse particles,1,-0.1294832229614257,,-0.1294832229614257,PNN,SENT
gàn dở,ngớ ngẩn,Predicate vocabulary,1,-0.1324286460876464,,-0.1324286460876464,PNB,MCQA
đã đưa ra ý kiến,nói,Idiomatic expressions,1,-0.133103609085083,,-0.133103609085083,PNN,MCQA
dàn,từ từ,Predicate vocabulary,1,-0.1346726417541504,,-0.1346726417541504,PNN,QA
ghi đông,tay xe,Predicate vocabulary,1,-0.13480806350708,,-0.13480806350708,PNT1,MCQA
bởi,từ,Connectives/Aspect markers,1,-0.1356716156005859,,-0.1356716156005859,PNB,QA
thục,thạo,Predicate vocabulary,2,-0.1359145641326904,0.0,-0.1359145641326904,"PNB, PNT4",NLI
tin,nói,Predicate vocabulary,1,-0.1378507614135742,,-0.1378507614135742,PNT4,QA
vào,trong,Predicate vocabulary,1,-0.1392707824707031,,-0.1392707824707031,PNT3,QA
này,nè,Demonstratives/Deixis,2,-0.1393728256225586,0.0,-0.1393728256225586,"PNN, PNT4",SENT
sao,sau,Interrogatives,1,-0.1438302993774414,,-0.1438302993774414,PNB,SENT
thật đấy,kinh á,Discourse particles,1,-0.1476621627807617,,-0.1476621627807617,PNT4,SENT
các chế,bọn mi,Pronouns,1,-0.1477131843566894,,-0.1477131843566894,PNT1,SENT
bản,xóm,Predicate vocabulary,1,-0.1483373641967773,,-0.1483373641967773,PNT2,MCQA
nhằm,để,Connectives/Aspect markers,3,-0.14967274665832517,0.1606361328671911,-0.1148695945739746,"PNN, PNT3, PNT4","MCQA, QA"
xác,chính,Predicate vocabulary,1,-0.1508755683898925,,-0.1508755683898925,PNT2,NLI
trái,ngược lại,Predicate vocabulary,1,-0.1522283554077148,,-0.1522283554077148,PNT2,QA
chg,chẳng,Negation/Function words,1,-0.1522860527038574,,-0.1522860527038574,PNT1,SENT
vô,vào,Predicate vocabulary,1,-0.1528258323669433,,-0.1528258323669433,PNB,SENT
nhé nhỉ,như,Discourse particles,2,-0.1535501480102539,0.0,-0.1535501480102539,"PNN, PNT1",SENT
mắc,dính,Predicate vocabulary,1,-0.1540777683258056,,-0.1540777683258056,PNT3,NLI
la hoài,chửi mãi,Idiomatic expressions,1,-0.1547064781188964,,-0.1547064781188964,PNB,SENT
nhỉ,rứa,Discourse particles,1,-0.1594324111938476,,-0.1594324111938476,PNT4,SENT
lộn,nhau,Predicate vocabulary,1,-0.1600832939147949,,-0.1600832939147949,PNT1,SENT
các chau,mấy cháu,Predicate vocabulary,1,-0.1629433631896972,,-0.1629433631896972,PNT4,SENT
lên,đến,Predicate vocabulary,1,-0.1651239395141601,,-0.1651239395141601,PNB,QA
cặp,gắp,Predicate vocabulary,2,-0.1665241718292236,0.0,-0.1665241718292236,"PNB, PNT4",MCQA
thế chân,rứa cẳng,Predicate vocabulary,1,-0.1674695014953613,,-0.1674695014953613,PNT3,SENT
nhờ vào,do,Connectives/Aspect markers,1,-0.1677515506744384,,-0.1677515506744384,PNT3,QA
chg,hông,Negation/Function words,1,-0.1686525344848632,,-0.1686525344848632,PNN,SENT
all,tất cả,Negation/Function words,1,-0.1708071231842041,,-0.1708071231842041,PNB,SENT
một nữa,phân nửa,Predicate vocabulary,1,-0.1749753952026367,,-0.1749753952026367,PNN,QA
toòng teng,hoa tai,Predicate vocabulary,1,-0.1770346164703369,,-0.1770346164703369,PNT2,MCQA
gấu,người yêu,Predicate vocabulary,1,-0.1778240203857422,,-0.1778240203857422,PNB,SENT
mấy,họ,Pronouns,1,-0.1832480430603027,,-0.1832480430603027,PNN,SENT
chú,con,Kinship/Honorific terms,2,-0.1886930465698242,0.0,-0.1886930465698242,"PNN, PNT4",NLI
dữ thấy,tợn bỏ,Predicate vocabulary,1,-0.1897296905517578,,-0.1897296905517578,PNT2,SENT
ngu,đần,Predicate vocabulary,1,-0.1899585723876953,,-0.1899585723876953,PNT3,SENT
nào,này,Demonstratives/Deixis,1,-0.1969671249389648,,-0.1969671249389648,PNB,SENT
ghi đông,tay lái,Predicate vocabulary,1,-0.1972994804382324,,-0.1972994804382324,PNT4,MCQA
gì dữ vậy,chi kinh rứa,Interrogatives,1,-0.2110075950622558,,-0.2110075950622558,PNT4,SENT
chen,xô,Predicate vocabulary,1,-0.2141170501708984,,-0.2141170501708984,PNT3,SENT
không,coi,Predicate vocabulary,1,-0.2237310409545898,,-0.2237310409545898,PNT3,SENT
trở thành,là,Predicate vocabulary,1,-0.223881721496582,,-0.223881721496582,PNB,QA
hiểu,biết được,Predicate vocabulary,1,-0.2248601913452148,,-0.2248601913452148,PNB,QA
các chau,mấy đứa cháu,Negation/Function words,1,-0.2363157272338867,,-0.2363157272338867,PNN,SENT
dữ,ghê,Predicate vocabulary,1,-0.2449216842651367,,-0.2449216842651367,PNT1,SENT
ly,cốc,Predicate vocabulary,1,-0.2450242042541504,,-0.2450242042541504,PNB,SENT
chôm,cướp,Predicate vocabulary,1,-0.2486810684204101,,-0.2486810684204101,PNT2,SENT
mắc ói,buồn nôn,Idiomatic expressions,1,-0.2531871795654297,,-0.2531871795654297,PNB,SENT
phát khổ,mệt,Predicate vocabulary,1,-0.2579889297485351,,-0.2579889297485351,PNN,SENT
lại,cản,Predicate vocabulary,1,-0.258939266204834,,-0.258939266204834,PNB,NLI
mỏi,nhọc,Predicate vocabulary,1,-0.2630062103271484,,-0.2630062103271484,PNB,NLI
dữ,gớm,Predicate vocabulary,1,-0.2667531967163086,,-0.2667531967163086,PNT1,SENT
phì,mập,Predicate vocabulary,1,-0.2816724777221679,,-0.2816724777221679,PNN,SENT
chế,chị,Kinship/Honorific terms,2,-0.2927446365356445,0.0,-0.2927446365356445,"PNB, PNT4",SENT
or,hoặc,Connectives/Aspect markers,1,-0.2943170070648193,,-0.2943170070648193,PNT1,SENT
các chế,tụi bây,Pronouns,1,-0.303257942199707,,-0.303257942199707,PNT4,SENT
phì,béo,Predicate vocabulary,1,-0.3099188804626465,,-0.3099188804626465,PNB,SENT
ngáo,dở,Predicate vocabulary,1,-0.3116931915283203,,-0.3116931915283203,PNT1,SENT
chế,bà,Kinship/Honorific terms,1,-0.3335628509521484,,-0.3335628509521484,PNB,SENT
nóng,sốt,Predicate vocabulary,2,-0.337803840637207,0.0,-0.337803840637207,"PNB, PNT1",NLI
trất,dẹp,Predicate vocabulary,1,-0.3457303047180176,,-0.3457303047180176,PNT2,SENT
bởi vậy,vì rứa nên,Connectives/Aspect markers,1,-0.3532981872558594,,-0.3532981872558594,PNT3,SENT
đưa,làm cho,Predicate vocabulary,1,-0.3609890937805176,,-0.3609890937805176,PNB,QA
mắng mỏ và bêu riếu,chửi bới với bếu rếu,Predicate vocabulary,1,-0.3680787086486816,,-0.3680787086486816,PNT1,NLI
ủi ui,trời ơi,Idiomatic expressions,1,-0.3796901702880859,,-0.3796901702880859,PNT4,SENT
mong,trông,Predicate vocabulary,1,-0.4043605327606201,,-0.4043605327606201,PNT3,NLI
chôm,trộm,Predicate vocabulary,2,-0.4065976142883301,0.0,-0.4065976142883301,"PNB, PNT1",SENT
xác đáng,minh bạch,Predicate vocabulary,1,-0.433452844619751,,-0.433452844619751,PNT1,NLI
răng,sao,Interrogatives,3,-0.4459972381591797,0.0,-0.4459972381591797,"PNB, PNN, PNT1",SENT
người vậy,ngài rứa,Demonstratives/Deixis,1,-0.4611725807189941,,-0.4611725807189941,PNT2,SENT
trất,dẹp đi,Predicate vocabulary,1,-0.4628396034240722,,-0.4628396034240722,PNN,SENT
rược,đuổi theo,Predicate vocabulary,1,-0.4950079917907715,,-0.4950079917907715,PNB,SENT
thấy mẹ hà,thế không biết,Idiomatic expressions,1,-0.4983448982238769,,-0.4983448982238769,PNB,SENT
thôi trất,dẹp đi,Idiomatic expressions,1,-0.4984235763549804,,-0.4984235763549804,PNT3,SENT
do,tại,Connectives/Aspect markers,5,-0.589984941482544,0.37330060021639205,-0.6604504585266113,"PNN, PNT4",NLI
tin chuẩn,chính xác,Idiomatic expressions,1,-0.6328630447387695,,-0.6328630447387695,PNB,NLI
rộng toang toác,ngoác mồm,Idiomatic expressions,1,-0.7416677474975586,,-0.7416677474975586,PNT4,SENT
quá vậy,ghê rứa,Discourse particles,1,-0.7604374885559082,,-0.7604374885559082,PNT4,SENT
rộng toang toác,bô bô,Idiomatic expressions,1,-0.8325629234313965,,-0.8325629234313965,PNN,SENT
bêu riếu,trêu chọc,Predicate vocabulary,1,-0.8362679481506348,,-0.8362679481506348,PNT4,NLI
vốn,trình độ,Predicate vocabulary,1,-0.8891239166259766,,-0.8891239166259766,PNB,SENT
do,vì,Connectives/Aspect markers,1,-0.903134822845459,,-0.903134822845459,PNB,NLI
trả,mượn,Predicate vocabulary,1,-1.3722481727600098,,-1.3722481727600098,PNB,NLI
